game_link,name,price,developer,genres,features,publisher,date release,initial release on platform ,recommended_os,cpu,memory,gpu,available achievements,available xp,Critics Recommend,Top Critic Average,OpenCritic Rating
Gods Will Fall₹459,Gods Will Fall,₹459,Clever Beans,Action-Adventure,null,Deep Silver,01/29/21,WindowsWindows,Windows 10 x64,Intel Core i5 or AMD equivalent,8 GB RAM,7 GB available space,,,null,null,null
Axiom Verge 2₹469,Axiom Verge 2,₹469,Thomas Happ Games LLC,AdventureIndie,Single Player,Thomas Happ Games LLC,08/12/21,WindowsWindows,Windows 10,Intel Core i5,8 GB RAM,9 GB available space,,,76%,78,Strong
Air Missions: HIND₹469,Air Missions: HIND,₹469,"3DIVISION, Games Farm s.r.o.",ActionCasualSimulation,MultiplayerController Support,"Nicalis, Inc.",09/27/21,Initial Release03/21/16,Windows 7 or higher,"Quadcore - 3,5 GHz",8192 MB RAM,4000 MB available space,,,null,null,null
Cruel Bands Career₹89,Cruel Bands Career,₹89,heran&99,AdventureIndieCasual,Single PlayerController Support,indienova,09/30/21,Initial Release08/04/20,"Windows 10, 64-bit",2.4 GHz,8G,"AMD R7 200 series, GeForce GTX 500 series",,,null,null,null
Milky Way Prince – The Vampire Star₹349,Milky Way Prince – The Vampire Star,₹349,Lorenzo Redaelli / Eyeguys,HorrorIndieNarration,Single Player,Santa Ragione,08/13/20,WindowsWindowsMac OSMac OS,Windows 10,2.0GHz CPU,8GB,3GB,,,null,null,null
Stranded Deep₹349,Stranded Deep,₹349,Beam Team Games,SurvivalIndie,null,Beam Team Publishing,12/28/20,Initial Release01/23/15,Windows 10 (64-bits),X64 Quad Core CPU 3.0GHz+,8GB,4GB,null,null,null,null,null
"Sid Meier’s Civilization® VI₹2,499",Sid Meier’s Civilization® VI,"₹2,499",Firaxis Games,Turn-BasedStrategy,MultiplayerSingle Player,2K,05/21/20,WindowsWindows,64bit: Win7 / Win8.1 / Win10,Fourth generation Intel Core i5 2.5 GHz or AMD FX8350 4.0 GHz or greater,8GB,12 GB,null,null,93%,89,Mighty
Pascal's Wager: Definitive Edition₹469,Pascal's Wager: Definitive Edition,₹469,TipsWorks,ActionRPG,Single PlayerController Support,Giant Mobile,06/23/21,Initial Release03/11/21,"Windows 7 SP1 64bit, Windows 8.1 64bit Windows 10 64bit",Intel Core i7-3770 / AMD® FX-8350,8GB,25GB,,,null,null,null
Pathway₹525,Pathway,₹525,Robotality,Turn-BasedRogue-LiteStrategy,Single Player,Chucklefish,06/11/20,WindowsWindowsMac OSMac OS,Windows 10 (64bits),2.0+ Ghz QuadCore CPU,8GB,2GB,,,35%,69,Fair
Untitled Goose Game₹595,Untitled Goose Game,₹595,House House,PuzzleComedyStealth,Single Player,Panic,09/20/19,WindowsWindowsMac OSMac OS,Windows 7 SP1+ (64 Bit),Intel Core i5 6600+ or AMD Ryzen 3 1300+,8GB,DX10 Graphics (Shader Model 4),,,83%,80,Strong
"Carnival Games₹2,799",Carnival Games,"₹2,799",Mass Media Games,CasualParty,Controller SupportMultiplayerSingle Player,2K,11/20/20,Initial Release08/27/07,Windows 10 (32-bit) SP1,Intel® Core™ i5-7500 or AMD equivalent,8GB,5 GB,,,null,null,null
Going Medieval₹589,Going Medieval,₹589,Foxy Voxel,Strategy,Single Player,The Irregular Corporation,06/01/21,WindowsWindows,Windows 7 64-bit or higher,Intel Core i5 or higher,8GB,null,null,null,null,null,null
OMNO₹449,OMNO,₹449,Studio Inkyfox,AdventureerIndie,Single Player,Future Friends Games,07/29/21,WindowsWindows,Windows 10,Intel Core i5 or AMD Ryzen 3,8GB,5GB,,,78%,79,Strong
Barony₹455,Barony,₹455,Turning Wheel LLC,Dungeon CrawlerFirst Person,Co-opSingle Player,Turning Wheel LLC,07/30/20,WindowsWindowsMac OSMac OS,Windows 8.1,Intel i5 3.5 ghz,8GB,800MB,,,null,null,null
Foregone₹469,Foregone,₹469,Big Blue Bubble,ActionRPGer,Single Player,Big Blue Bubble,02/26/20,WindowsWindows,Windows 7 or later,Intel Core i5 3.0 GHz,8GB,GeForce GTX 660 or equivalent,,,null,null,null
CraytaFree,Crayta,Free,Unit 2 Games,Action,Multiplayer,Unit 2 Games,03/10/21,WindowsWindows,Windows 10,"X64 Quad Core CPU 2GHz, eg Intel Core i5-9600K",8GB,20GB,null,null,null,null,null
Dead Age 2₹499,Dead Age 2,₹499,Silent Dreams,RPGAdventure,Single Player,Headup,09/02/21,Initial Release03/12/21,Windows 10 64 Bit,Intel CPU Core i7-3770 or AMD Ryzen 5 1600,8GB,7GB,,,null,null,null
"HUMANKIND™ Standard Edition₹2,399",HUMANKIND™,"₹2,399",AMPLITUDE Studios,Strategy,MultiplayerSingle Player,SEGA,08/17/21,WindowsWindowsMac OSMac OS,OS: Win 7 64-bit,Intel i5 6th generation (or better) / AMD Ryzen 5 1600 (or better),8GB,25GB,,,64%,80,Strong
CORRUPTION 2029₹595,Corruption 2029,₹595,The Bearded Ladies,Turn-BasedStealth,Single Player,The Bearded Ladies,02/07/20,WindowsWindows,Windows 10,Intel Core i7-4771 (4 * 3500) or equivalent OR AMD FX-9370 (8 * 4400) or equivalent,8GB,GeForce GTX 970 (4096 MB) OR Radeon RX Vega 56 (8192 MB),,,null,null,null
Sundered: Eldritch Edition₹529,Sundered: Eldritch Edition,₹529,Thunder Lotus,ActionIndie,Controller Support,Thunder Lotus,07/28/17,WindowsWindowsMac OSMac OSMac OSMac OS,Microsoft® Windows® 10 (64-bit),2.4 GHz Processor,8GB,DirectX 10-compatible graphics card with at least 1GB of video memory,,,87%,81,Strong
"The Binding of Isaac: Repentance₹1,179",The Binding of Isaac: Repentance,"₹1,179",Nicalis Inc. | Edmund McMillen,ActionRPGRogue-LiteAdventure,Co-opSingle PlayerController Support,"Nicalis, Inc.",03/31/21,WindowsWindows,Windows 10,i9,8GB,1GB,,,null,null,null
CastleStorm 2₹469,CastleStorm II,₹469,Zen Studios,ActionStrategy,Multiplayer,Zen Studios,09/23/20,WindowsWindows,Windows 10,Intel i3 4xxx 2.5 Ghz or greater / AMD equivalent,8GB,null,,,null,null,null
Before We Leave₹595,Before We Leave,₹595,Balancing Monkey Games,City BuilderStrategyIndie,Single Player,Team17,05/08/20,WindowsWindowsMac OSMac OS,Windows 10 64 Bit,Intel Core i5-9400 or AMD Ryzen 5 3400G,8GB,2GB,,,63%,76,Strong
"The Division 2 Standard Edition₹1,499",The Division 2,"₹1,499",Ubisoft,ActionRPGShooter,Controller SupportMultiplayer,Ubisoft,03/15/19,WindowsWindows,Windows 7/8/10,AMD Ryzen 5 1500X Intel Core I7-4790,8GB,AMD RX 480 NVIDIA Geforce GTX 970,,,91%,83,Strong
Metro Exodus Standard Edition₹749,Metro Exodus,₹749,4A Games,ActionFirst PersonShooter,Controller SupportSingle Player,Deep Silver,02/15/19,WindowsWindowsMac OSMac OS,Win10 RS5 (Build 1809) or newer | Win 8.1 required build 9600 | Win 8 required build 9200 | Win 7 required SP1,INTEL CORE I7-4770K or equivalent,8GB,GEFORCE GTX 1070 | GEFORCE RTX 2060 | AMD RX VEGA 56,null,null,83%,83,Strong
"Yooka-Laylee₹1,999",Yooka-Laylee,"₹1,999",Playtonic,IndieAdventureer,Controller SupportMultiplayerSingle Player,Team17,08/19/21,Initial Release04/11/17,Windows 10 (64bit),Intel i5-2500 3.3GHz,8GB,9GB,,,56%,72,Fair
Overcooked! 2₹589,Overcooked! 2,₹589,Ghost Town Games and Team17 Digital Ltd,Simulation,Co-opMultiplayer,Team17 Digital Ltd,06/17/21,Initial Release08/07/18,Win7 - 64 bit,Intel i5-650 / AMD A10-5800K,8GB,11,null,null,88%,82,Strong
Bugsnax₹595,Bugsnax,₹595,Young Horses,ComedyAdventureIndie,Single Player,Young Horses,11/12/20,WindowsWindowsMac OSMac OS,Windows 10,Intel Core i5 2.8 Ghz or better,8GB,7.5GB,,,68%,76,Strong
Mars Horizon₹469,Mars Horizon,₹469,Auroch Digital,SimulationStrategyIndie,null,The Irregular Corporation,06/22/21,Initial Release06/16/20,Windows 10,2.0GHz Dual Core Processor or higher,8GB,null,,,null,null,null
ReadySet Heroes₹595,ReadySet Heroes,₹595,Robot Entertainment,ActionPartyRPG,Co-opMultiplayer,PlayStation PC LLC,10/29/19,WindowsWindows,Windows 7/8/10,Intel® Core™ i5-6400 or AMD FX 8320,8GB,Nvidia GTX 780 Ti / AMD Radeon R9 290X,,,null,null,null
Afterparty₹595,Afterparty,₹595,Night School Studio,Adventure,null,Night School Studio,10/29/19,WindowsWindowsMac OSMac OSMac OSMac OS,Windows 10,Intel Core i5 3.0 GHz,8GB,Radeon RX 460 or equivalent,,,62%,75,Strong
Scrapnaut₹329,Scrapnaut,₹329,SpiffyBit,ExplorationSurvivalOpen World,Co-opSingle Player,RockGame S.A.,03/03/21,WindowsWindows,Windows 10 64 Bit,Intel Core i5 3.4 GHz,8GB,4GB,,,null,null,null
"The Outer Worlds₹2,990",The Outer Worlds,"₹2,990",Obsidian Entertainment,RPG,Controller SupportSingle Player,Private Division,10/25/19,WindowsWindows,Windows 10 64bit,Intel Core i7-7700K  or Ryzen 5 1600,8GB,GeForce GTX 1060 6GB or Radeon RX 470,null,null,82%,83,Strong
Train Sim World® 2₹699,Train Sim World® 2,₹699,Dovetail Games,Simulation,Single PlayerController Support,Dovetail Games,07/29/21,Initial Release08/20/20,"64-bit Windows 7 Service Pack 1, Windows 8 / 8.1 or Windows 10",Intel Core i7-4790 @ 3.6 GHz or AMD Ryzen 7 1700 @ 3.8 GHz,8GB,Train Sim World 2 Starter Bundle - German Edition,null,null,null,null,null
Against the Storm₹469,Against the Storm,₹469,Eremite Games,City BuilderRogue-LiteStrategy,Single Player,Eremite Games,10/18/21,WindowsWindows,Microsoft Windows 10,Intel i5,8GB,null,null,null,null,null,null
"Rage 2₹1,799",Rage 2,"₹1,799","id Software, Avalanche Studios",ActionOpen World,null,Bethesda Softworks,02/18/21,WindowsWindows,"Win7, 8.1, or 10 (64-Bit versions)",Intel Core i7-4770 or AMD Ryzen 5 1600X,8GB,50GB,null,null,41%,71,Fair
Rocket League®Free,Rocket League®,Free,Psyonix LLC,SportsRacing,Co-opMultiplayerCompetitiveAchievementsSingle Player,Psyonix LLC,09/23/20,Initial Release07/07/15,Windows 7 (64 bit) or Newer (64 bit) Windows OS,3.0+ GHz Quad core,8GB,20GB,null,null,93%,87,Mighty
Ancient Enemy₹349,Ancient Enemy,₹349,Grey Alien Games,Card GameIndie,null,Grey Alien Games,03/18/21,Initial Release04/09/20,Windows 8.1,3Ghz,8GB,200MB,,,null,null,null
Startup Panic₹349,Startup Panic,₹349,Algo Rocks,IndieSimulationStrategy,Single Player,tinyBuild,12/03/20,WindowsWindows,Windows 7+ (64 bits),Intel Core i5 3 Ghz +,8GB,null,,,null,null,null
Road 96₹596,Road 96,₹596,Digixart,AdventureIndie,Single PlayerController Support,Ravenscourt,08/16/21,WindowsWindows,Windows 10,i5 4460 or equivalent,8GB,null,,,72%,77,Strong
Calico₹279,Calico,₹279,Peachy Keen Games,CasualSimulationOpen World,Single Player,Whitethorn Games,12/15/20,WindowsWindows,Windows 10,"X64 Multi Core CPU, 2GHZ+",8GB Ram,1.5GB Available,,,45%,55,Weak
Automachef₹459,Automachef,₹459,Hermes Interactive,SimulationIndie,Single Player,Team17,08/26/21,Initial Release07/23/19,Windows 10 64-bit,Intel Core i5-4460 or Ryzen 3 2200G,8GB RAM,6GB,,,56%,66,Fair
Real Farm - Gold Edition₹529,Real Farm - Gold Edition,₹529,SOEDESCO,SimulationOpen WorldAdventure,null,SOEDESCO,06/24/21,WindowsWindows,Windows 10,3.5GhZ Intel i5,8GB RAM,Privacy Policy,,,null,null,null
The Last Campfire₹372,The Last Campfire,₹372,Hello Games,PuzzleAdventure,Single Player,Hello Games,08/27/20,WindowsWindows,Windows 10 (64Bit),Intel Core i5 2.8 Ghz,8GB RAM,2GB,,,null,null,null
SpellbreakFree,Spellbreak,Free,Proletariat,ActionRPG,Multiplayer,Proletariat,09/03/20,WindowsWindows,64-bit Windows 10,Intel(R) Core(TM) i5-6400 CPU @ 2.70GHz (4 CPUs),8GB RAM,NVIDIA GeForce GT 640/Radeon R7 GPU,null,null,null,null,null
"Dungeons 3₹1,799",Dungeons 3,"₹1,799",Realmforge Studios,Strategy,MultiplayerSingle Player,Kalypso Media,11/05/20,WindowsWindows,Windows 10 64-bit,Quad core 3.5 GHz or higher (Intel i5 4000 Series / AMD Ryzen 3 Series),8GB RAM,Clash of Gods,,,63%,75,Strong
"3 out of 10, EP 2: Foundation 101Free","3 out of 10, EP 2: ""Foundation 101""",Free,"Terrible Posture Games, Inc.",ExplorationComedyAdventure,Single Player,"Terrible Posture Games, Inc.",08/13/20,WindowsWindows,Windows 7/8/10 [64-bit],3.5 GHz Intel Core i5 or AMD FX,8GB RAM,1GB,,,null,null,null
Truck Driver₹709,Truck Driver,₹709,SOEDESCO,CasualSimulationAdventure,Single PlayerController Support,SOEDESCO,05/27/21,WindowsWindows,Windows 10,Intel® Core™ i5 4th Gen / AMD A10 series,8GB RAM,4GB,null,null,null,null,null
Slipways₹399,Slipways,₹399,Beetlewing,PuzzleStrategy,Single Player,Beetlewing,06/03/21,WindowsWindowsMac OSMac OS,Windows 10,"any Dual Core CPU, 2+ GHz",8GB RAM,2GB,,,null,null,null
"3 out of 10, EP 5: The Rig Is Up!Free","3 out of 10, EP 5: ""The Rig Is Up!""",Free,"Terrible Posture Games, Inc.",ExplorationComedyAdventure,Controller Support,"Terrible Posture Games, Inc.",09/03/20,WindowsWindows,Windows 7/8/10 [64-bit],3.5 GHz Intel Core i5 or AMD FX,8GB RAM,1GB,,,null,null,null
3 out of 10: Season TwoFree,3 out of 10: Season Two,Free,"Terrible Posture Games, Inc.",ComedyAdventure,Single PlayerController Support,"Terrible Posture Games, Inc.",04/08/21,WindowsWindows,Windows 7/8/10 [64-bit],3.5 GHz Intel Core i5 or AMD FX,8GB RAM,1GB,,,null,null,null
Beyond Two Souls₹899,Beyond: Two Souls,₹899,Quantic Dream,ActionNarration,Single Player,Quantic Dream,07/22/19,WindowsWindows,Windows 7 or later (64 bit),i5-6600K @ 3.5GHz or equivalent,8GB RAM,Nvidia GeForce GTX 970 with 4GB or AMD Radeon R9 390 with 4GB,,,47%,71,Fair
"Tetris® Effect: Connected₹1,117",Tetris® Effect: Connected,"₹1,117","Monstars inc., Resonair, Stage Games",Puzzle,MultiplayerSingle PlayerVR,Enhance,07/23/19,WindowsWindows,Windows 10,Intel i5-4590 (required for VR),8GB RAM,NVIDIA GTX 970 equivalent (required for VR),null,null,97%,90,Mighty
"3 out of 10, EP 1: Welcome To ShovelworksFree","3 out of 10, EP 1: ""Welcome To Shovelworks""",Free,"Terrible Posture Games, Inc.",Action,Single Player,"Terrible Posture Games, Inc.",08/06/20,WindowsWindows,Windows 7/8/10 [64-bit],3.5 Ghz Intel Core i5 or AMD FX,8GB RAM,1GB,,,null,null,null
"3 out of 10, EP 4: Thank You For Being An AssetFree","3 out of 10, EP 4: ""Thank You For Being An Asset""",Free,"Terrible Posture Games, Inc.",ExplorationComedyAdventure,Controller Support,"Terrible Posture Games, Inc.",08/27/20,WindowsWindows,Windows 7/8/10 [64-bit],3.5 Ghz Intel Core i5 or AMD FX,8GB RAM,1GB,,,null,null,null
DiaboticalFree,Diabotical,Free,The GD Studio,ShooterAdventure,MultiplayerCompetitive,The GD Studio,09/03/20,WindowsWindows,Windows 10 (64-bits),Core i5 2.8GHz,8GB RAM,Nvidia GeForce GTX 970,,,null,null,null
Monkey Barrels₹349,Monkey Barrels,₹349,"Good-Feel Co., Ltd.",ActionShooterIndie,null,"Good-Feel Co., Ltd.",02/09/21,WindowsWindows,Windows 10 (64bit),Intel Core i5-6600K,8GB RAM,4GB,,,null,null,null
Heavy Rain₹899,Heavy Rain,₹899,Quantic Dream,ActionNarration,Single Player,Quantic Dream,06/24/19,WindowsWindows,Windows 7 or later (64 bit),i5-6600K @ 3.5GHz or equivalent,8GB RAM,Nvidia GeForce GTX 970 with 4GB or AMD Radeon R9 390 with 4GB,,,44%,73,Fair
"King's Bounty II₹1,899",King's Bounty II,"₹1,899",1C Entertainment,RPGAdventure,Single Player,"Prime Matter,1C Entertainment",08/24/21,WindowsWindows,Windows 10,Intel Core i5-7400 | AMD Ryzen 7 1700X,8GB RAM,20GB available place (SSD),,,null,null,null
The Solitaire Conspiracy₹297,The Solitaire Conspiracy,₹297,Bithell Games,StrategyCard GameIndie,null,Bithell Games,10/06/20,WindowsWindowsMac OSMac OS,Windows 10,2.4 GHz Intel Core i9,8GB RAM,1GB,,,73%,74,Fair
"Aven Colony₹1,250",Aven Colony,"₹1,250",Mothership Entertainment LLC,SimulationCity BuilderStrategy,Single Player,Team17,11/04/21,Initial Release07/25/17,Windows 10 64-bit,Intel Core i5-4670 or AMD A10-7850k,8GB RAM,25GB,,,43%,72,Fair
Beast Breaker₹349,Beast Breaker,₹349,Vodeo Games,PuzzleStrategyAdventure,Single Player,Vodeo Games,09/23/21,WindowsWindowsMac OSMac OS,Windows 10 64-bit,Dual Core 3.0 GHz processor,8GB RAM,1GB available space,,,null,null,null
"3 out of 10, EP 3: Pivot Like A ChampionFree","3 out of 10, EP 3: ""Pivot Like A Champion""",Free,"Terrible Posture Games, Inc.",ExplorationComedyAdventure,null,"Terrible Posture Games, Inc.",08/20/20,WindowsWindows,Windows 7/8/10 [64-bit],3.5 GHz Intel Core i5 or AMD FX,8GB RAM,1GB,,,null,null,null
"Ghost Recon Breakpoint Standard Edition₹2,999",Ghost Recon Breakpoint,"₹2,999",Ubisoft Paris,ShooterOpen World,Controller SupportCo-opSingle Player,Ubisoft,10/04/19,WindowsWindows,Windows 7/8.1 /10,AMD Ryzen 5 1600 / Intel Core I7 6700K,AMD Radeon RX 480 (8 GB)/ Nvidia Geforce GTX 1060 (6 GB),Ultimate Edition,,,16%,57,Weak
"STAR WARS Jedi: Fallen Order Standard Edition₹2,499",STAR WARS Jedi: Fallen Order,"₹2,499",Respawn Entertainment,ActionAdventure,Controller SupportSingle Player,Electronic Arts,11/14/19,WindowsWindows,64-bit Windows 7/8.1/10,AMD Ryzen 7 1700/Intel i7-6700K or Equivalent,AMD RX Vega 56/ Nvidia GTX 1070 or Equivalent,16 GB RAM,,,83%,83,Strong
"Far Cry 6 Standard Edition₹2,999",Far Cry® 6,"₹2,999",Ubisoft Toronto,ActionShooterOpen WorldAdventure,Co-opMultiplayerSingle Player,Ubisoft,10/07/21,WindowsWindows,Windows 10 (20H1 or newer) – 64 bit only,AMD Ryzen 5 3600X (3.8 GHz) / Intel i7-7700 (3.6 GHz) or higher,AMD RX VEGA64 (8 GB) / Nvidia GTX 1080 (8 GB) or higher,16 GB (Dual-Channel mode),null,null,73%,77,Strong
Horace₹446,Horace,₹446,Paul Helman,AdventureerIndie,Single Player,505 Games,07/18/19,WindowsWindows,Windows 10,Intel i7,Any DX12 graphics card,8GB,,,81%,81,Strong
John Wick Hex₹595,John Wick Hex,₹595,Bithell Games,ActionStrategy,Single Player,Good Shepherd Entertainment,10/08/19,WindowsWindowsMac OSMac OSMac OSMac OS,Windows 10,3.1 GHz Intel Core i7,Dedicated Graphics Card,16 GB 2133 MHz LPDDR3,,,65%,75,Strong
Grindstone₹469,Grindstone,₹469,CAPY,IndiePuzzle,AchievementsSingle Player,Capybara Games,05/20/21,WindowsWindows,Windows 7+ (64 bits),X64 Dual Core CPU 2+ GHz,Discrete GPU with 2GB VRAM,8 GB RAM,49 Achievements,1000 XP,93%,84,Mighty
Enter the Gungeon₹521,Enter the Gungeon,₹521,Dodge Roll,ActionIndieAdventure,Controller SupportSingle Player,Devolver Digital,04/05/16,WindowsWindowsMac OSMac OSMac OSMac OS,Windows 7 or later,Intel Core 2 Duo E6320 (2*1866) or equivalent,GeForce 7600 GS (512 MB) or equivalent,2GB RAM,,,90%,84,Mighty
Super Meat Boy Forever₹469,Super Meat Boy Forever,₹469,Team Meat,Actioner,Single Player,Team Meat,12/23/20,WindowsWindows,Windows 10,64bit AMD or Intel made within the last 3 years,GeForce 900 / AMD Radeon RX 400+ or better,16GB,,,39%,66,Fair
Magic: The Gathering ArenaFree,Magic: The Gathering Arena,Free,Wizards of the Coast,StrategyCard Game,Multiplayer,Wizards of the Coast,01/16/20,WindowsWindowsMac OSMac OS,Windows 10  ( 64bit ),Intel Core2 Quad Q9300 @ 2.50GHz,GeForce GTX 560,4 GB,,,93%,83,Strong
Huntdown₹595,Huntdown,₹595,Easy Trigger Games,Actioner,Co-op,Coffee Stain Publishing,05/12/20,WindowsWindowsMac OSMac OS,Windows 7/8.1/10 (64-bit versions),"i5-2500k@3.3GHz, AMD FX 6300 3.5GHz","GeForce GTX 750, AMD R7 370",4 GB RAM,,,89%,85,Mighty
The Escapists 2₹521,The Escapists 2,₹521,Team17 and Mouldy Toof Studios,IndieSimulationStrategy,null,Team17 Digital Ltd,07/09/20,WindowsWindows,Windows 7/8.1/10 (64-bit versions),"i5-2500k@3.3GHz, AMD FX 6300 3.5GHz","GeForce GTX 750, AMD R7 370",Dungeons and Duct Tape,,,61%,75,Strong
Observation₹745,Observation,₹745,No Code,PuzzleNarrationAdventure,Controller SupportSingle Player,Devolver Digital,05/21/19,WindowsWindows,"Windows 7, 8, 8.1, 10 x64",Intel Core i5-6600K (4 * 3500) or equivalent | AMD Ryzen 3 2200G (4 * 3500) or equivalent,GeForce GTX 960 (4096 MB) | Radeon RX 570 (8192 MB),8 GB,,,73%,76,Strong
Time Loader₹628,Time Loader,₹628,Flazm,Actioner,Single Player,META Publishing,11/03/21,WindowsWindows,Windows 10,Intel(R) Сore (TM) i5-4440,GeForce GTX1050 Ti,16 GB,,,null,null,null
Hello Neighbor Mod KitFree,Hello Neighbor Mod Kit,Free,–,null,null,–,12/19/19,,Windows 10,i7,GTX 1060,8Gb,,,null,null,null
Hello Neighbor₹670,Hello Neighbor,₹670,Dynamic Pixels,HorrorIndieStealth,Single Player,tinyBuild,12/08/18,WindowsWindows,Windows 10,i7,GTX 1060,8Gb,,,null,null,null
Ashen₹894,Ashen,₹894,A44,ActionRPGOpen World,Co-opSingle Player,Annapurna Interactive,12/07/18,WindowsWindows,Windows 10 (64 Bit),DirectX11,Intel Core i5 @ 3.5GHz or AMD FX 6 Core,8 GB RAM,null,null,84%,80,Strong
The Architect: Paris₹429,The Architect: Paris,₹429,Enodo Games,Casual,Single Player,Enodo Games,05/12/21,Initial Release09/22/21,NVIDIA GEFORCE GTX 1070 or AMD RX VEGA-56,"Windows 10, 64 bits",Intel Core i5 3470 @ 3.2GHZ (4 CPUs) or AMD X8 FX-8350 @ 4GHZ (8 CPUs),10 GB,null,null,null,null,null
DauntlessFree,Dauntless,Free,Phoenix Labs,ActionRPG,MultiplayerController Support,Phoenix Labs,03/19/20,WindowsWindows,Windows 10,DirectX11,Intel Core i7,8 GB RAM,null,null,76%,76,Strong
"Ancestors: The Humankind Odyssey₹1,990",Ancestors: The Humankind Odyssey,"₹1,990",Panache Digital Games,ExplorationSurvivalOpen World,Controller SupportSingle Player,Private Division,08/27/19,WindowsWindows,Windows 10 64-bit,GeForce GTX 980 (4GB) or Radeon RX 480 (8GB),Intel Core i7-4770K or AMD Ryzen 5 1600,8 GB,,,34%,67,Fair
Manifold Garden₹595,Manifold Garden,₹595,William Chyr Studio,ExplorationPuzzleAdventure,Controller SupportSingle Player,William Chyr Studio,10/18/19,WindowsWindows,"Win 7, 8, 10",Nvidia 1070,"Intel Core i7-4790k,4.00 GHz",8GB,,,89%,82,Strong
Airborne Kingdom₹745,Airborne Kingdom,₹745,The Wandering Band LLC,SimulationCity BuilderStrategy,AchievementsSingle Player,Freedom Games,12/17/20,Initial Release12/17/20,DirectX 12,Windows 10,Intel Core i7-8700 or AMD Ryzen 7 1800x,8GB RAM,27 Achievements,1000 XP,65%,79,Strong
Asemblance₹189,Asemblance,₹189,Nilo Studios,Indie,Single Player,Nilo Studios,06/25/21,Initial Release06/21/16,Windows 7 / Windows 8 / Windows 10,Core i5 processor or equivalent,Intel HD4400 / AMD Radeon 5750 1Gb VRAM / NVidia Geforce 640 1Gb VRAM or better,8 GB RAM,,,24%,58,Weak
City of Brass₹521,City of Brass,₹521,Uppercut Games,ActionFirst PersonRogue-Lite,Controller SupportSingle Player,Uppercut Games,05/04/18,WindowsWindows,Requires a 64-bit processor and operating system,Windows 10 64bit,Intel i7 2.5 GHz,8 GB RAM,,,31%,69,Fair
Sunblaze₹349,Sunblaze,₹349,Games From Earth,PuzzleerIndie,Controller Support,Bonus Stage Publishing,10/14/21,Initial Release06/03/21,Windows 10,null,null,500 MB,,,82%,73,Fair
Battalion 1944 Development ToolkitFree,Battalion Dev Kit,Free,–,null,null,–,07/06/18,,null,null,null,null,,,null,null,null
Bee Simulator₹759,null,null,null,null,null,null,null,null,null,null,null,null,,,26%,58,Weak
ATLAS Mod KitFree,Atlas Mod Kit,Free,Grapeshot Games,null,null,Snail Games USA,01/10/18,,Windows 7/8.1/10 (64-bit versions),null,null,null,,,null,null,null
AER Memories of Old₹372,null,null,null,null,null,null,null,null,null,null,null,null,,,38%,67,Fair
Diesel Brothers: Truck Building Simulator EditorFree,null,null,null,null,null,null,null,null,null,null,null,null,,,null,null,null
The Longest Road on Earth₹239,null,null,null,null,null,null,null,null,null,null,null,null,,,null,null,null
Farming Simulator 19₹799,Farming Simulator 19,₹799,Giants Software GmbH,Simulation,MultiplayerSingle Player,Giants Software GmbH,07/20/20,WindowsWindows,null,null,null,Farming Simulator 19 - GRIMME Equipment Pack,,,50%,70,Fair
Squad EditorFree,Squad Editor,Free,Offworld Industries,null,null,Offworld Industries,06/09/16,,null,null,null,null,,,null,null,null
Totally Reliable Delivery Service Standard Edition₹446,null,null,null,null,null,null,null,null,null,null,null,null,,,null,null,null
The First Tree₹239,The First Tree,₹239,David Wehle,ExplorationAdventureIndie,Controller Support,David Wehle,04/15/21,Initial Release09/14/17,Windows 10  (64-bit only),3.0GHz CPU,null,8 GB,,,77%,80,Strong
Fights in Tight Spaces₹589,null,null,null,null,null,null,null,null,null,null,null,null,,,90%,81,Strong
"Watch Dogs: Legion Gold Edition-67%₹4,999₹1,649.67",null,null,null,null,null,null,null,null,null,null,null,null,,,null,null,null
VR FunhouseFree,VR Funhouse Editor,Free,–,null,null,–,08/31/16,,null,null,null,null,,,null,null,null
The Jackbox Party Pack 4₹595,null,null,null,null,null,null,null,null,null,null,null,null,,,68%,78,Strong
Behind the Frame: The Finest Scenery₹239,null,null,null,null,null,null,null,null,null,null,null,null,,,null,null,null
Disco Elysium₹894,null,null,null,null,null,null,null,null,null,null,null,null,,,96%,92,Mighty
GoNNER₹372,GoNNER,₹372,Art in Heart,er,null,Raw Fury,02/27/20,WindowsWindows,null,null,null,null,,,52%,75,Strong
Chicory: A Colorful Tale₹469,null,null,null,null,null,null,null,null,null,null,null,null,,,96%,88,Mighty
"Anno 1800 Standard Edition₹3,129",null,null,null,null,null,null,null,null,null,null,null,null,,,94%,81,Strong
The Sojourn₹745,null,null,null,null,null,null,null,null,null,null,null,null,,,40%,72,Fair
RiME₹819,null,null,null,null,null,null,null,null,null,null,null,null,,,68%,79,Strong
"Ghostrunner₹2,124",Ghostrunner,"₹2,124",One More Level and 3D Realms,ActionShooter,Single Player,505 Games,10/27/20,WindowsWindows,null,null,null,null,null,null,82%,81,Strong
MONOPOLY® PLUS₹749,null,null,null,null,null,null,null,null,null,null,null,null,,,null,null,null
"KINGDOM HEARTS HD 2.8 Final Chapter Prologue₹3,999",null,null,null,null,null,null,null,null,null,null,null,null,,,47%,76,Strong
Redout: Space Assault₹239,null,null,null,null,null,null,null,null,null,null,null,null,,,12%,60,Weak
