game_link,name,price,developer,genres,features,publisher,date release,initial release on platform ,recommended_os,cpu,memory,gpu,available achievements,available xp,Critics Recommend,Top Critic Average,OpenCritic Rating
Narita Boy₹589,Narita Boy,₹589,Studio Koba,AdventureIndie,Single Player,Team17,03/30/21,WindowsWindows,Windows 10,"Dual Core processor, 3.0 GHz",4GB,3GB,,,71%,77,Strong
Shadow Complex Remastered₹521,Shadow Complex Remastered,₹521,Epic Games,Action,Single Player,Epic Games,08/19/09,WindowsWindowsMac OSMac OSMac OSMac OS,Windows 7 and up,Intel i5 / AMD A4,4GB,NVIDIA GT 540 1GB / AMD 5550 1GB,,,59%,76,Strong
Hammerting₹655,Hammerting,₹655,Warpzone Studios,SimulationRPG,Single Player,Team17 Digital Ltd,10/27/20,WindowsWindows,Windows 10,Intel Core i5-6600 | AMD Ryzen 3 1300X,4GB,4GB,,,null,null,null
The Last Friend₹349,The Last Friend,₹349,"The Stonebot Studio, Ludus Games",FightingStrategy,Single PlayerController Support,Skystone Games Inc.,09/30/21,WindowsWindows,Windows 7 or higher (64 bit),2.6 GHz Intel® Core™ i5-750 or 3.2 GHz AMD Phenom™ II X4 95,4GB,4 GB,,,77%,82,Strong
Neon Abyss₹484,Neon Abyss,₹484,Veewo Games,Shooterer,Controller Support,Team17 Digital Ltd.,07/29/20,WindowsWindows,Windows 10 64-bit,"i5-2500k@3.3GHz, AMD FX 6300 3.5GHz",4GB,Privacy Policy,null,null,75%,76,Strong
Songs for a Hero - Definitive Edition₹329,Songs for a Hero - Definitive Edition,₹329,Dumativa Game Studio,AdventureComedyer,Single Player,Dumativa Game Studio,07/08/21,WindowsWindows,Windows 10,"Intel Core 2 Duo, 2.0GHz ou AMD Athlon64 X2 3800+ 2.0GHz",4GB,VGA with DirectX9.0c e Shader Model 3.0 or Higher. (256MB),,,null,null,null
Void Tyrant₹239,Void Tyrant,₹239,Quite Fresh Games,RPGCard Game,Single PlayerController Support,Armor Games Studios,10/11/21,Initial Release06/28/19,Windows 10,1.8 GHz,4GB,null,,,null,null,null
Ageless₹458,Ageless,₹458,One More Dream Studios,ActionAdventureer,null,Team17 Digital Ltd.,07/29/20,WindowsWindows,Windows 10 64-bit,Intel Core i5 2300,4GB,null,,,null,null,null
Gone Home₹446,Gone Home,₹446,The Fullbright Company,ActionFirst PersonAdventure,null,The Fullbright Company,04/02/20,WindowsWindowsMac OSMac OS,Windows 10 64-bit,2.6GHz,4GB,null,null,null,76%,85,Mighty
Jetboard Joust₹239,Jetboard Joust,₹239,Bitbull LTD,ActionIndie,Single PlayerController Support,Freedom Games,08/20/21,Initial Release10/23/20,"Windows 8, 64 bit+",2GHz+,4GB,200MB,,,null,null,null
Aground₹349,Aground,₹349,Fancy Fish Games,ExplorationOpen WorldAdventure,Single PlayerController Support,Whitethorn Games,02/11/21,WindowsWindowsMac OSMac OS,Windows 10,2.0GHZ+,4GB Ram,500 MB,,,null,null,null
Gone Viral₹469,Gone Viral,₹469,Skullbot Games,Rogue-LiteDungeon CrawlerAction,Single Player,Akupara Games,11/01/21,WindowsWindows,Windows 7 SP1 /8 /10 (64-bit only),"X64 Dual Core CPU, 2+ GHz",4GB RAM,2GB RAM,,,null,null,null
The Darkside Detective A Fumble in the Dark₹309,The Darkside Detective: A Fumble in the Dark,₹309,Spooky Doorway,AdventureComedyExploration,Controller Support,Akupara Games,11/01/21,WindowsWindowsMac OSMac OS,Windows 10,Pentium 4,4GB RAM,Dedicated GPU,,,null,null,null
Oddworld: New 'n' Tasty₹469,Oddworld: New 'n' Tasty,₹469,Just Add Water,ActionPuzzleer,null,"Oddworld Inhabitants, Inc.",12/18/20,WindowsWindows,Windows 8,Intel i5,4GB RAM,10GB,,,85%,81,Strong
Sheltered₹459,Sheltered,₹459,Unicube,RPGStrategy,Single Player,Team17,09/09/21,Initial Release08/04/15,Windows 10,Quad Core CPU,4GB RAM,null,,,30%,67,Fair
Blasphemous₹569,Blasphemous,₹569,The Game Kitchen,ActionAdventure,Single Player,Team17,10/28/21,Initial Release09/10/19,Windows 10 64-bit,Intel Core i5-750 or AMD Phenom II x4 945,4GB RAM,4GB,null,null,85%,80,Strong
Neighbours back From Hell-40%₹633₹379.80,Neighbours back From Hell,₹379.80,Farbworks & THQ Nordic,PuzzleStrategy,null,HandyGames,10/08/20,WindowsWindows,Windows 10,64-bit processor,4GB RAM,"GeForce 560 or higher, AMD Radeon HD 5830 or higher",,,null,null,null
The Stanley Parable₹446,The Stanley Parable,₹446,Galactic Cafe,NarrationComedyAdventure,null,Galactic Cafe,03/26/20,WindowsWindows,Windows 10,"3.0 GHz P4, Dual Core 2.0 (or higher) or AMD64X2 (or higher)",4GB RAM,3GB,,,null,null,null
Far Cry₹499,Far Cry,₹499,Crytek Studios,Action,null,Ubisoft,08/18/20,Initial Release03/23/04,Windows® 2000/XP (only),AMD Athlon 2-3 GHz or Pentium 4 2-3 GHz,512 - 1024 MB,128 MB GeForce™ 4 128 MB to GeForce FX 5950; ATI Radeon 9500-9800 XT,,,null,null,null
"Anno 2070₹1,499",Anno 2070,"₹1,499",Ubisoft Blue Byte,City BuilderStrategy,Single Player,Ubisoft,03/03/21,Initial Release11/17/11,Windows® 7 (SP1) / Windows® 8,Intel Core®2 Duo E6700 @ 2.6 GHz or AMD Athlon64 X2 6000+ @ 3.0Ghz or better,512 MB DirectX® 9.0 – compliant card with Shader Model 5.0 or higher (Radeon HD5770 / GeForce GTX460 or better,DirectX compatible (Surround Sound 5.1 capable sound card recommended),,,null,null,null
Splinter Cell Chaos Theory₹499,Tom Clancy's Splinter Cell Chaos Theory,₹499,Ubisoft Montreal,ActionStealth,Co-op,Ubisoft,03/30/21,Initial Release03/22/05,Microsoft Windows® XP,Pentium IV or Athlon 2.2 GHz,512 MB of RAM,128 MB DirectX 9.0c compliant graphics card,,,null,null,null
Sokobond₹239,Sokobond,₹239,Draknek & Friends,CasualPuzzleIndie,null,Draknek & Friends,04/27/21,Initial Release08/27/13,Windows 7+,SSE2 instruction set support,512 MB RAM,100 MB available space,,,null,null,null
Cave Story+₹349,Cave Story+,₹349,"Nicalis, Inc./Studio Pixel",ActionAdventureer,Controller Support,"Nicalis, Inc.",12/03/20,WindowsWindows,Windows 7,Intel Core Duo 2.0 Ghz and above,512 MB RAM,200 MB,,,94%,88,Mighty
Neon City Riders: Super-powered Edition₹349,Neon City Riders: Super-powered Edition,₹349,Mecha Studios,ActionOpen WorldAdventure,Single Player,Mecha Studios,08/03/21,Initial Release03/11/20,Windows 7 and above,1.2 ghz,512 mb video memory,4 GB RAM,,,null,null,null
